"","pid","sex","birth_year","race","hispanic","home_language","US_born","grade_w1","suspension_this_year","ever_suspended","grade_last_suspended","extrav","agree","consc","neuro","open","anger","optimism","anxiety","race_complex","extrav_c","agree_c","consc_c","neuro_c","open_c","anxiety_c","anger_c","optimism_c"
"87","57199896","female",80,"BLACK","no","English","yes","8",NA,"yes","7",2.75,3.25,3.75,2.75,3.5,3,2.5,2,"Black",-0.304808195862791,0.34768591254255,0.768296674522126,-0.206909531290914,0.192033254778738,-0.855230426813302,-0.0362005760670332,-0.342154359780047
"88","57200870","female",77,"OTHER","no","English","yes","12",NA,"no",NA,2.75,3,3.25,3,3.5,2.75,3,2.5,"White",-0.304808195862791,0.0976859125425502,0.268296674522126,0.0430904687090861,0.192033254778738,-0.355230426813302,-0.286200576067033,0.157845640219953
"90","57203993","male",79,"OTHER","no","English","yes","9","no","yes","9",3,3.25,3.25,3.25,3.75,2.75,2.75,3.75,"White",-0.0548081958627913,0.34768591254255,0.268296674522126,0.293090468709086,0.442033254778738,0.894769573186698,-0.286200576067033,-0.0921543597800469
"93","57210612","male",79,"BLACK","no","English",NA,"11","yes","yes","8",2.5,3.5,2,4.25,3.75,2.25,2.5,2.75,"Black",-0.554808195862791,0.59768591254255,-0.981703325477874,1.29309046870909,0.442033254778738,-0.105230426813302,-0.786200576067033,-0.342154359780047
"95","57211375","female",80,"HISPANIC","yes","English","no","9","no","yes","7",3.5,3.5,2.25,3,4,3.25,3.5,3,"Other",0.445191804137209,0.59768591254255,-0.731703325477874,0.0430904687090861,0.692033254778738,0.144769573186698,0.213799423932967,0.657845640219953
"96","57212347","female",78,"OTHER","no","English",NA,"9",NA,"yes","9",2,2.5,2.5,2,3,2,2,2.5,"White",-1.05480819586279,-0.40231408745745,-0.481703325477874,-0.956909531290914,-0.307966745221262,-0.355230426813302,-1.03620057606703,-0.842154359780047
"97","57212679","male",79,"OTHER","no","English","yes","9",NA,"no",NA,3,3.25,3,3,3.25,3,3.5,2.75,"White",-0.0548081958627913,0.34768591254255,0.018296674522126,0.0430904687090861,-0.057966745221262,-0.105230426813302,-0.0362005760670332,0.657845640219953
"98","57212861","male",82,"BLACK","no","English","yes","7",NA,"no",NA,1,1.25,1.75,2,1,1,1,1.25,"Black",-2.05480819586279,-1.65231408745745,-1.23170332547787,-0.956909531290914,-2.30796674522126,-1.6052304268133,-2.03620057606703,-1.84215435978005
"99","57213037","male",77,"HISPANIC","yes","English","yes","12",NA,"yes","12",2.5,2.75,3.5,2.75,2.66666666666667,3,2.75,2.75,"Other",-0.554808195862791,-0.15231408745745,0.518296674522126,-0.206909531290914,-0.641300078554595,-0.105230426813302,-0.0362005760670332,-0.0921543597800469
"100","57213527","male",78,"OTHER","no","English",NA,"11","no","no",NA,2.25,2.5,3.25,3.5,3.5,3,3,2.5,"Asian/Pacific Islander",-0.804808195862791,-0.40231408745745,0.268296674522126,0.543090468709086,0.192033254778738,-0.355230426813302,-0.0362005760670332,0.157845640219953
"101","57214806","female",78,"OTHER","no","English","yes","11",NA,"no",NA,3,3.25,4,2.25,2.75,3.25,3,3,"White",-0.0548081958627913,0.34768591254255,1.01829667452213,-0.706909531290914,-0.557966745221262,0.144769573186698,0.213799423932967,0.157845640219953
"102","57214893","male",79,"BLACK","no","English","yes","9","yes","yes","9",2,3,3.25,3,3.5,3,3,3.5,"Black",-1.05480819586279,0.0976859125425502,0.268296674522126,0.0430904687090861,0.192033254778738,0.644769573186698,-0.0362005760670332,0.157845640219953
"103","57217465","female",80,"HISPANIC","yes","Spanish","no","9","no","no",NA,3.75,2.5,3.25,2.75,3.25,3.25,3.25,2,"Indigenous/Native American",0.695191804137209,-0.40231408745745,0.268296674522126,-0.206909531290914,-0.057966745221262,-0.855230426813302,0.213799423932967,0.407845640219953
"104","57217613","male",81,"OTHER","no","English","yes","7","yes","no",NA,3,3,3,3.5,4,2.5,3.5,3,"White",-0.0548081958627913,0.0976859125425502,0.018296674522126,0.543090468709086,0.692033254778738,0.144769573186698,-0.536200576067033,0.657845640219953
"105","57218874","male",80,"BLACK","no","English",NA,"9","no","no",NA,1.75,2.25,2.75,4,4.25,3.5,2.25,3,"Black",-1.30480819586279,-0.65231408745745,-0.231703325477874,1.04309046870909,0.942033254778738,0.144769573186698,0.463799423932967,-0.592154359780047
"106","57220133","male",79,"OTHER","no","English","yes","10",NA,"yes","10",3,2.5,3.25,2.75,3,3.5,2.25,2.75,"White",-0.0548081958627913,-0.40231408745745,0.268296674522126,-0.206909531290914,-0.307966745221262,-0.105230426813302,0.463799423932967,-0.592154359780047
"108","57220692","male",77,"OTHER","no","English","yes","12",NA,"no",NA,3.25,4,4,3.5,4.25,2.5,3.5,4,"White",0.195191804137209,1.09768591254255,1.01829667452213,0.543090468709086,0.942033254778738,1.1447695731867,-0.536200576067033,0.657845640219953
"109","57220955","female",78,"OTHER","no","English","yes","10","no","no",NA,3.5,4,3,3,3.5,3.25,3,2.75,"White",0.445191804137209,1.09768591254255,0.018296674522126,0.0430904687090861,0.192033254778738,-0.105230426813302,0.213799423932967,0.157845640219953
"113","57228523","male",76,"BLACK","no","English","yes","11",NA,"yes","9",3.25,3,3,3.5,3.25,3.75,3,2.5,"Black",0.195191804137209,0.0976859125425502,0.018296674522126,0.543090468709086,-0.057966745221262,-0.355230426813302,0.713799423932967,0.157845640219953
